species,Compartment,MP_Form,Size_Fraction_um,mass_g,number_of_particles,concentration_g_m3,concentration_num_m3,mass_fraction,number_fraction
bC7_Utopia,Sediment_Freshwater,biofMP,5.0,3.707982423511325e-14,1.528374830947732e-05,3.1965365719925214e-26,1.3175645094377e-17,3.320910920258915e-24,2.129746640602607e-22
aC7_Utopia,Sediment_Freshwater,biofMP,0.5,3.741281503953919e-17,4.447113217807294e-08,3.225242675822344e-29,3.8337182912131844e-20,3.350733952637713e-27,6.196925154892474e-25
eD7_Utopia,Sediment_Freshwater,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dD7_Utopia,Sediment_Freshwater,heterBiofMP,500.0,7.712637557264478e-10,1.2024532814839275e-05,6.648825480400412e-22,1.0365976564516616e-17,6.907525269136546e-20,1.6755842774078993e-22
cD7_Utopia,Sediment_Freshwater,heterBiofMP,50.0,5.255383220706046e-11,0.0008193504170621117,4.5305027764707294e-23,7.063365664328549e-16,4.7067805438142124e-21,1.1417413862621072e-20
bD7_Utopia,Sediment_Freshwater,heterBiofMP,5.0,4.368967105625621e-13,0.006811520434934285,3.7663509531255357e-25,5.8720003749433494e-15,3.9128962638352154e-23,9.49165902889264e-20
aD7_Utopia,Sediment_Freshwater,heterBiofMP,0.5,4.408333511534951e-16,0.006872895371347987,3.800287509943923e-28,5.9249098028861954e-15,3.948153261399901e-26,9.57718324847379e-20
eA8_Utopia,Sediment_Ocean,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dA8_Utopia,Sediment_Ocean,freeMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cA8_Utopia,Sediment_Ocean,freeMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bA8_Utopia,Sediment_Ocean,freeMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aA8_Utopia,Sediment_Ocean,freeMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eB8_Utopia,Sediment_Ocean,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dB8_Utopia,Sediment_Ocean,heterMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cB8_Utopia,Sediment_Ocean,heterMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bB8_Utopia,Sediment_Ocean,heterMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aB8_Utopia,Sediment_Ocean,heterMP,0.5,1.3204496910669434e-05,205867195.53058302,1.1383186991956409e-17,0.00017747172028498537,1.1826096507124747e-15,2.8687005256404495e-09
eC8_Utopia,Sediment_Ocean,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dC8_Utopia,Sediment_Ocean,biofMP,500.0,293669310.08807653,4213257240691.337,0.0002531631983517901,3.6321183109408075,0.02630135495337297,5.8710535352069355e-05
cC8_Utopia,Sediment_Ocean,biofMP,50.0,8089470.026211006,62095068084557.055,6.973681057078453e-06,53.53023110737677,0.000724502068262548,0.0008652770248059533
bC8_Utopia,Sediment_Ocean,biofMP,5.0,55164.59024239233,22738018053002.715,4.755568124344166e-08,19.60173970086441,4.9406029809086436e-06,0.0003168477822440669
aC8_Utopia,Sediment_Ocean,biofMP,0.5,63.10763495364973,75013547430.29515,5.440313358073253e-11,0.06466685123301306,5.651991032655134e-09,1.0452923419334884e-06
eD8_Utopia,Sediment_Ocean,heterBiofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dD8_Utopia,Sediment_Ocean,heterBiofMP,500.0,10542709513.189259,164368097887936.66,0.009088542683783844,141.69663611029023,0.9442169663337625,0.00229042246189047
cD8_Utopia,Sediment_Ocean,heterBiofMP,50.0,290411395.8037112,4527713551579841.0,0.00025035465155492345,3903.2013375688284,0.02600957247199942,0.06309239416163767
bD8_Utopia,Sediment_Ocean,heterBiofMP,5.0,1980370.5588290188,3.0875340106902604e+16,1.7072159989905334e-06,26616.672505950522,0.0001773642230144852,0.43023903913259043
aD8_Utopia,Sediment_Ocean,heterBiofMP,0.5,2265.4617636394805,3.532010821899492e+16,1.952984278999552e-09,30448.369154305965,2.028973131748286e-07,0.49217561230369056
eA9_Utopia,Sediment_Coast,freeMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dA9_Utopia,Sediment_Coast,freeMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cA9_Utopia,Sediment_Coast,freeMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bA9_Utopia,Sediment_Coast,freeMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aA9_Utopia,Sediment_Coast,freeMP,0.5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
eB9_Utopia,Sediment_Coast,heterMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dB9_Utopia,Sediment_Coast,heterMP,500.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
cB9_Utopia,Sediment_Coast,heterMP,50.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
bB9_Utopia,Sediment_Coast,heterMP,5.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
aB9_Utopia,Sediment_Coast,heterMP,0.5,0.0002448984697840196,3818135708.2548146,2.1111937050346516e-16,0.003291496300219668,2.193338343525092e-14,5.3204629737184126e-08
eC9_Utopia,Sediment_Coast,biofMP,5000.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
dC9_Utopia,Sediment_Coast,biofMP,500.0,967776.664659016,13884637923.260693,8.342902281543241e-07,0.011969515451086803,8.667517067123606e-05,1.9347846074324217e-07
cC9_Utopia,Sediment_Coast,biofMP,50.0,29661.845851608297,227685414705.956,2.5570556768627844e-08,0.19628052991892758,2.6565484016065684e-06,3.172731173435585e-06
bC9_Utopia,Sediment_Coast,biofMP,5.0,212.3856514870071,87542185240.40068,1.8309107886810956e-10,0.07546740106931094,1.9021498722790583e-08,1.2198753286923927e-06
