,modelBox,Compartment,MPform,sizeBin,thalf_deg_d,tfrag_gen_d,tbiof_growth_d,tbiof_degrade_d,alpha_heter
140,Utopia,Sediment_Freshwater,freeMP,mp5,5000,NAN,NAN,NAN,NAN
141,Utopia,Sediment_Freshwater,freeMP,mp4,5000,NAN,NAN,NAN,NAN
142,Utopia,Sediment_Freshwater,freeMP,mp3,5000,NAN,NAN,NAN,NAN
143,Utopia,Sediment_Freshwater,freeMP,mp2,5000,NAN,NAN,NAN,NAN
144,Utopia,Sediment_Freshwater,freeMP,mp1,5000,NAN,NAN,NAN,NAN
145,Utopia,Sediment_Freshwater,heterMP,mp5,50000,NAN,NAN,NAN,NAN
146,Utopia,Sediment_Freshwater,heterMP,mp4,50000,NAN,NAN,NAN,NAN
147,Utopia,Sediment_Freshwater,heterMP,mp3,50000,NAN,NAN,NAN,NAN
148,Utopia,Sediment_Freshwater,heterMP,mp2,50000,NAN,NAN,NAN,NAN
149,Utopia,Sediment_Freshwater,heterMP,mp1,50000,NAN,NAN,NAN,NAN
150,Utopia,Sediment_Freshwater,biofMP,mp5,25000,NAN,NAN,NAN,NAN
151,Utopia,Sediment_Freshwater,biofMP,mp4,25000,NAN,NAN,NAN,NAN
152,Utopia,Sediment_Freshwater,biofMP,mp3,25000,NAN,NAN,NAN,NAN
153,Utopia,Sediment_Freshwater,biofMP,mp2,25000,NAN,NAN,NAN,NAN
154,Utopia,Sediment_Freshwater,biofMP,mp1,25000,NAN,NAN,NAN,NAN
155,Utopia,Sediment_Freshwater,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
156,Utopia,Sediment_Freshwater,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
157,Utopia,Sediment_Freshwater,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
158,Utopia,Sediment_Freshwater,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
159,Utopia,Sediment_Freshwater,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
160,Utopia,Sediment_Ocean,freeMP,mp5,5000,NAN,NAN,NAN,NAN
161,Utopia,Sediment_Ocean,freeMP,mp4,5000,NAN,NAN,NAN,NAN
162,Utopia,Sediment_Ocean,freeMP,mp3,5000,NAN,NAN,NAN,NAN
163,Utopia,Sediment_Ocean,freeMP,mp2,5000,NAN,NAN,NAN,NAN
164,Utopia,Sediment_Ocean,freeMP,mp1,5000,NAN,NAN,NAN,NAN
165,Utopia,Sediment_Ocean,heterMP,mp5,50000,NAN,NAN,NAN,NAN
166,Utopia,Sediment_Ocean,heterMP,mp4,50000,NAN,NAN,NAN,NAN
167,Utopia,Sediment_Ocean,heterMP,mp3,50000,NAN,NAN,NAN,NAN
168,Utopia,Sediment_Ocean,heterMP,mp2,50000,NAN,NAN,NAN,NAN
169,Utopia,Sediment_Ocean,heterMP,mp1,50000,NAN,NAN,NAN,NAN
170,Utopia,Sediment_Ocean,biofMP,mp5,25000,NAN,NAN,NAN,NAN
171,Utopia,Sediment_Ocean,biofMP,mp4,25000,NAN,NAN,NAN,NAN
172,Utopia,Sediment_Ocean,biofMP,mp3,25000,NAN,NAN,NAN,NAN
173,Utopia,Sediment_Ocean,biofMP,mp2,25000,NAN,NAN,NAN,NAN
174,Utopia,Sediment_Ocean,biofMP,mp1,25000,NAN,NAN,NAN,NAN
175,Utopia,Sediment_Ocean,heterBiofMP,mp5,100000,NAN,NAN,NAN,NAN
176,Utopia,Sediment_Ocean,heterBiofMP,mp4,100000,NAN,NAN,NAN,NAN
177,Utopia,Sediment_Ocean,heterBiofMP,mp3,100000,NAN,NAN,NAN,NAN
178,Utopia,Sediment_Ocean,heterBiofMP,mp2,100000,NAN,NAN,NAN,NAN
179,Utopia,Sediment_Ocean,heterBiofMP,mp1,100000,NAN,NAN,NAN,NAN
180,Utopia,Sediment_Coast,freeMP,mp5,5000,NAN,NAN,NAN,NAN
181,Utopia,Sediment_Coast,freeMP,mp4,5000,NAN,NAN,NAN,NAN
182,Utopia,Sediment_Coast,freeMP,mp3,5000,NAN,NAN,NAN,NAN
183,Utopia,Sediment_Coast,freeMP,mp2,5000,NAN,NAN,NAN,NAN
184,Utopia,Sediment_Coast,freeMP,mp1,5000,NAN,NAN,NAN,NAN
185,Utopia,Sediment_Coast,heterMP,mp5,50000,NAN,NAN,NAN,NAN
186,Utopia,Sediment_Coast,heterMP,mp4,50000,NAN,NAN,NAN,NAN
187,Utopia,Sediment_Coast,heterMP,mp3,50000,NAN,NAN,NAN,NAN
188,Utopia,Sediment_Coast,heterMP,mp2,50000,NAN,NAN,NAN,NAN
189,Utopia,Sediment_Coast,heterMP,mp1,50000,NAN,NAN,NAN,NAN
190,Utopia,Sediment_Coast,biofMP,mp5,25000,NAN,NAN,NAN,NAN
